Store ID,Product ID,Date,Units Sold,Sales Revenue (USD),Discount Percentage,Marketing Spend (USD),Store Location,Product Category,Day of the Week,Holiday Effect,Original Price (USD),Discount Amount (USD),ROI (%)
Spearsland,52372247,2022-01-01,9,2741.69,20,81,Tanzania,Furniture,Saturday,False,3427.1124999999997,685.4224999999997,3284.8024691358028
Spearsland,52372247,2022-01-02,7,2665.53,0,0,Mauritania,Furniture,Sunday,False,2665.53,0.0,0.0
Spearsland,52372247,2022-01-03,1,380.79,0,0,Saint Pierre and Miquelon,Furniture,Monday,False,380.79,0.0,0.0
Spearsland,52372247,2022-01-04,4,1523.16,0,0,Australia,Furniture,Tuesday,False,1523.16,0.0,0.0
Spearsland,52372247,2022-01-05,2,761.58,0,0,Swaziland,Furniture,Wednesday,False,761.58,0.0,0.0
Spearsland,52372247,2022-01-06,8,3046.32,0,41,Bhutan,Furniture,Thursday,False,3046.32,0.0,7330.048780487806
Spearsland,52372247,2022-01-07,6,2284.74,0,0,Suriname,Furniture,Friday,False,2284.74,0.0,0.0
Spearsland,52372247,2022-01-08,9,3427.11,0,83,Taiwan,Furniture,Saturday,False,3427.11,0.0,4029.0481927710844
Spearsland,52372247,2022-01-09,7,2665.53,0,0,Papua New Guinea,Furniture,Sunday,False,2665.53,0.0,0.0
Spearsland,52372247,2022-01-10,1,380.79,0,164,Canada,Furniture,Monday,False,380.79,0.0,132.1890243902439
Spearsland,52372247,2022-01-11,4,1523.16,0,61,Vietnam,Furniture,Tuesday,False,1523.16,0.0,2396.9836065573772
Spearsland,52372247,2022-01-12,6,2284.74,0,0,Cocos (Keeling) Islands,Furniture,Wednesday,False,2284.74,0.0,0.0
Spearsland,52372247,2022-01-13,3,971.01,15,197,Lebanon,Furniture,Thursday,False,1142.364705882353,171.35470588235307,392.8984771573604
Spearsland,52372247,2022-01-14,6,2284.74,0,0,Luxembourg,Furniture,Friday,False,2284.74,0.0,0.0
Spearsland,52372247,2022-01-15,3,971.01,15,163,French Guiana,Furniture,Saturday,False,1142.364705882353,171.35470588235307,495.7116564417178
Spearsland,52372247,2022-01-16,2,761.58,0,160,Paraguay,Furniture,Sunday,False,761.58,0.0,375.9875
Spearsland,52372247,2022-01-17,8,3046.32,0,0,Nauru,Furniture,Monday,False,3046.32,0.0,0.0
Spearsland,52372247,2022-01-18,6,2284.74,0,0,Italy,Furniture,Tuesday,False,2284.74,0.0,0.0
Spearsland,52372247,2022-01-19,13,4950.27,0,188,Saint Helena,Furniture,Wednesday,False,4950.27,0.0,2533.122340425532
Spearsland,52372247,2022-01-20,5,1903.95,0,0,Portugal,Furniture,Thursday,False,1903.95,0.0,0.0
Spearsland,52372247,2022-01-21,3,913.9,20,7,French Southern Territories,Furniture,Friday,False,1142.375,228.47500000000002,12955.714285714284
Spearsland,52372247,2022-01-22,9,3427.11,0,171,Colombia,Furniture,Saturday,False,3427.11,0.0,1904.157894736842
Spearsland,52372247,2022-01-23,5,1903.95,0,180,Switzerland,Furniture,Sunday,False,1903.95,0.0,957.75
Spearsland,52372247,2022-01-24,4,1370.84,10,24,Mali,Furniture,Monday,False,1523.1555555555553,152.31555555555542,5611.833333333333
Spearsland,52372247,2022-01-25,4,1523.16,0,126,Reunion,Furniture,Tuesday,False,1523.16,0.0,1108.857142857143
Spearsland,52372247,2022-01-26,12,4569.48,0,0,Romania,Furniture,Wednesday,False,4569.48,0.0,0.0
Spearsland,52372247,2022-01-27,6,2284.74,0,152,Dominican Republic,Furniture,Thursday,False,2284.74,0.0,1403.1184210526314
Spearsland,52372247,2022-01-28,5,1903.95,0,0,Switzerland,Furniture,Friday,False,1903.95,0.0,0.0
Spearsland,52372247,2022-01-29,7,2665.53,0,0,Sweden,Furniture,Saturday,False,2665.53,0.0,0.0
Spearsland,52372247,2022-01-30,5,1903.95,0,57,Kiribati,Furniture,Sunday,False,1903.95,0.0,3240.263157894737
Spearsland,52372247,2022-01-31,1,380.79,0,0,Antigua and Barbuda,Furniture,Monday,False,380.79,0.0,0.0
Spearsland,52372247,2022-02-01,4,1523.16,0,0,Czech Republic,Furniture,Tuesday,False,1523.16,0.0,0.0
Spearsland,52372247,2022-02-02,7,2665.53,0,0,Mauritius,Furniture,Wednesday,False,2665.53,0.0,0.0
Spearsland,52372247,2022-02-03,1,380.79,0,189,Congo,Furniture,Thursday,False,380.79,0.0,101.4761904761905
Spearsland,52372247,2022-02-04,5,1903.95,0,9,Bouvet Island (Bouvetoya),Furniture,Friday,False,1903.95,0.0,21055.0
Spearsland,52372247,2022-02-05,3,1142.37,0,0,Hong Kong,Furniture,Saturday,False,1142.37,0.0,0.0
Spearsland,52372247,2022-02-06,13,4950.27,0,0,Hong Kong,Furniture,Sunday,False,4950.27,0.0,0.0
Spearsland,52372247,2022-02-07,5,1903.95,0,34,Slovenia,Furniture,Monday,False,1903.95,0.0,5499.85294117647
Spearsland,52372247,2022-02-08,5,1903.95,0,0,Antarctica (the territory South of 60 deg S),Furniture,Tuesday,False,1903.95,0.0,0.0
Spearsland,52372247,2022-02-09,3,1142.37,0,0,Trinidad and Tobago,Furniture,Wednesday,False,1142.37,0.0,0.0
Spearsland,52372247,2022-02-10,5,1903.95,0,0,Oman,Furniture,Thursday,False,1903.95,0.0,0.0
Spearsland,52372247,2022-02-11,5,1903.95,0,85,Lithuania,Furniture,Friday,False,1903.95,0.0,2139.9411764705883
Spearsland,52372247,2022-02-12,2,761.58,0,0,Tokelau,Furniture,Saturday,False,761.58,0.0,0.0
